publisher,year,title,website,user
Inside Science,2017, How Math Can Help Geologists Discover New Minerals, https://www.insidescience.org/news/how-math-can-help-geologists-discover-new-minerals,lex
The OpenHelix Blog,2016,"Video Tip of the Week: Pathfinder, for exploring paths through data sets", http://blog.openhelix.eu/?p=24029,lex
The OpenHelix Blog,2014, Video Tip of the Week: UpSet about genomics Venn Diagrams?, http://blog.openhelix.eu/?p=20201,lex
The Harvard Crimson,2014, Painting by the Numbers: Data Visualization, http://www.thecrimson.com/article/2014/10/21/arts-cover-painting-by-numbers/,lex
The Harvard Crimson,2014, New Tool Makes Cancer Analysis More Accessible, http://www.thecrimson.com/article/2014/10/14/new-tool-analysis-cancer/,lex
Harvard Medical School News,2014, Pattern Recognition: New visualization software uncovers cancer subtypes, http://hms.harvard.edu/news/pattern-recognition,lex
GenomeWeb,2014, Harvard TCGA Data Visualization Software Adds Tools to Better Characterize Disease Subtypes, http://goo.gl/EcuGFp,lex
The OpenHelix Blog,2014, StratomeX for genomic stratification of diseases, http://blog.openhelix.eu/?p=19822,lex
Harvard SEAS News & Harvard Gazette,2014, What's behind a #1 ranking?, http://www.seas.harvard.edu/news/2014/01/whats-behind-1-ranking,lex
Forbes,2014, Harvard And DARPA Develop Software For Deconstructing Top 100 Rankings,http://goo.gl/MfC3PK,lex
Der Standard,2014, Heimische Forscher machen die Dynamik hinter Rankings sichtbar, http://goo.gl/7l7Ork,lex
The OpenHelix Blog,2014, Video Tip of the Week: Entourage and enRoute from the Caleydo team, http://blog.openhelix.eu/?p=18139,lex
Nature Methods,2013, Data visualization: ambiguity as a fellow traveler, http://www.nature.com/nmeth/journal/v10/n7/full/nmeth.2530.html,lex
GEN - Genetic Engineering & Biotechnology News,2013, Pathway Analysis to Decipher Data, http://genengnews.com/gen-articles/pathway-analysis-to-decipher-data/4836/,lex
Harvard SEAS News,2013, Celebrating minds dedicated to discovery, https://www.seas.harvard.edu/news/2013/09/celebrating-minds-dedicated-to-discovery,lex
The OpenHelix Blog,2010, Tip of the Week: Caleydo for gene expression and pathway visualization, http://blog.openhelix.eu/?p=3578,lex
Salt Lake Tribune,2018,"If you could see how chores impact your home's air quality, you might do them differently, Utah study says",https://www.sltrib.com/news/2018/10/06/if-you-could-see-how/,moore